player_id,name,team,statistic,value,year
suzukic01,Ichiro Suzuki,Seattle,Hits,213,2008
cabremi01,Miguel Cabrera,Detroit,Home Runs,37,2008
bradlmi01,Milton Bradley,Texas,On Base Percentage,.436,2008
hamiljo03,Josh Hamilton,Texas,RBI,130,2008
pedrodu01,Dustin Pedroia,Boston,Runs,118,2008
rodrial01,Alex Rodriguez,New York,Slugging Average,.573,2008
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,50,2008
hamiljo03,Josh Hamilton,Texas,Total Bases,331,2008
grandcu01,Curtis Granderson,Detroit,Triples,13,2008
figgich01,Chone Figgins,Los Angeles,Base on Balls,101,2009
mauerjo01,Joe Mauer,Minnesota,Batting Average,.365,2009
roberbr01,Brian Roberts,Baltimore,Doubles,56,2009
suzukic01,Ichiro Suzuki,Seattle,Hits,225,2009
penaca01,Carlos Pena,Tampa Bay,Home Runs,39,2009
teixema01,Mark Teixeira,New York,Home Runs,39,2009
mauerjo01,Joe Mauer,Minnesota,On Base Percentage,.444,2009
teixema01,Mark Teixeira,New York,RBI,122,2009
pedrodu01,DustinPedroia,Boston,Runs,115,2009
mauerjo01,Joe Mauer,Minnesota,Slugging Average,.587,2009
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,70,2009
teixema01,Mark Teixeira,New York,Total Bases,344,2009
ellsbja01,Jacoby Ellsbury,Boston,Triples,10,2009
spande01,Denard Span,Minnesota,Triples,10,2009
bartoda02,Daric Barton,Oakland,Base on Balls,110,2010
hamiljo03,Josh Hamilton,Texas,Batting Average,.359,2010
beltrad01,Adrian Beltre,Boston,Doubles,49,2010
suzukic01,Ichiro Suzuki,Seattle,Hits,214,2010
bautijo02,Jose Bautista,Toronto,Home Runs,54,2010
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.420,2010
cabremi01,Miguel Cabrera,Detroit,RBI,126,2010
teixema01,Mark Teixeira,New York,Runs,113,2010
hamiljo03,Josh Hamilton,Texas,Slugging Average,.633,2010
pierrju01,Juan Pierre,Chicago,Stolen Bases,68,2010
bautijo02,Jose Bautista,Toronto,Total Bases,351,2010
crawfca02,Carl Crawford,Tampa Bay,Triples,13,2010
bautijo02,Jose Bautista,Toronto,Base on Balls,132,2011
cabremi01,Miguel Cabrera,Detroit,Batting Average,.344,2011
cabremi01,Miguel Cabrera,Detroit,Doubles,48,2011
gonzaad01,Adrian Gonzalez,Boston,Hits,213,2011
youngmi02,Michael Young,Texas,Hits,213,2011
bautijo02,Jose Bautista,Toronto,Home Runs,43,2011
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.448,2011
grandcu01,Curtis Granderson,New York,RBI,119,2011
grandcu01,Curtis Granderson,New York,Runs,136,2011
bautijo02,Jose Bautista,Toronto,Slugging Average,.608,2011
crispco01,Coco Crisp,Oakland,Stolen Bases,49,2011
pierrju01,Brett Gardner,New York,Stolen Bases,49,2011
ellsbja01,Jacoby Ellsbury,Boston,Total Bases,364,2011
bourjpe01,Peter Bourjos,Los Angeles,Triples,11,2011
jacksau01,Austin Jackson,Detroit,Triples,11,2011
dunnad01,Adam Dunn,Chicago,Base on Balls,105,2012
cabremi01,Miguel Cabrera,Detroit,Batting Average,.330,2012
gordoal01,Alex Gordon,Kansas City,Doubles,51,2012
jeterde01,Derek Jeter,New York,Hits,216,2012
cabremi01,Miguel Cabrera,Detroit,Home Runs,44,2012
mauerjo01,Joe Mauer,Minnesota,On Base Percentage,.416,2012
cabremi01,Miguel Cabrera,Detroit,RBI,139,2012
troutmi01,Mike Trout,Los Angeles,Runs,129,2012
cabremi01,Miguel Cabrera,Detroit,Slugging Average,.606,2012
troutmi01,Mike Trout,Los Angeles,Stolen Bases,49,2012
cabremi01,Miguel Cabrera,Detroit,Total Bases,377,2012
jacksau01,Austin Jackson,Detroit,Triples,10,2012
troutmi01,Mike Trout,Los Angeles,Base on Balls,110,2013
cabremi01,Miguel Cabrera,Detroit,Batting Average,.348,2013
machama01,Manny Machado,Baltimore,Doubles,51,2013
beltrad01,Adrian Beltre,Texas,Hits,199,2013
davisch02,Chris Davis,Baltimore,Home Runs,53,2013
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.442,2013
davisch02,Chris Davis,Baltimore,RBI,138,2013
troutmi01,Mike Trout,Los Angeles,Runs,109,2013
cabremi01,Miguel Cabrera,Detroit,Slugging Average,.636,2013
ellsbja01,Jacoby Ellsbury,Boston,Stolen Bases,52,2013
davisch02,Chris Davis,Baltimore,Total Bases,370,2013
gardnbr01,Brett Gardner,New York,Triples,10,2013
santaca01,Carlos Santana,Cleveland,Base on Balls,113,2014
altuvjo01,Jose Altuve,Houston,Batting Average,.341,2014
cabremi01,Miguel Cabrera,Detroit,Doubles,52,2014
altuvjo01,Jose Altuve,Houston,Hits,225,2014
cruzne02,Nelson Cruz,Baltimore,Home Runs,40,2014
martivi01,Victor Martinez,Detroit,On Base Percentage,.409,2014
troutmi01,Mike Trout,Los Angeles,RBI,111,2014
troutmi01,Mike Trout,Los Angeles,Runs,115,2014
abreujo02,Jose Abreu,Chicago,Slugging Average,.581,2014
altuvjo01,Jose Altuve,Chicago,Stolen Bases,56,2014
troutmi01,Mike Trout,Los Angeles,Total Bases,338,2014
bournmi01,Michael Bourn,Cleveland,Triples,10,2014
eatonad01,Adam Eaton,Chicago,Triples,10,2014
bautijo02,Jose Bautista,Toronto,Base on Balls,110,2015
cabremi01,Miguel Cabrera,Detroit,Batting Average,.338,2015
brantmi02,Michael Brantley,Cleveland,Doubles,45,2015
altuvjo01,Jose Altuve,Houston,Hits,200,2015
davisch02,Chris Davis,Baltimore,Home Runs,47,2015
cabremi01,Miguel Cabrera,Detroit,On Base Percentage,.440,2015
altuvjo01,Josh Donaldson,Toronto,RBI,123,2015
altuvjo01,Josh Donaldson,Toronto,Runs,122,2015
troutmi01,Mike Trout,Los Angeles,Slugging Average,.590,2015
altuvjo01,Jose Altuve,Houston,Stolen Bases,38,2015
altuvjo01,Josh Donaldson,Toronto,Total Bases,352,2015
rosared01,Eddie Rosario,Minnesota,Triples,15,2015
troutmi01,Mike Trout,Los Angeles,Base on Balls,116,2016
altuvjo01,Jose Altuve,Houston,Batting Average,.338,2016
ortizda01,David Ortiz,Boston,Doubles,48,2016
altuvjo01,Jose Altuve,Houston,Hits,216,2016
trumbma01,Mark Trumbo,Baltimore,Home Runs,47,2016
troutmi01,Mike Trout,Los Angeles,On Base Percentage,.441,2016
encared01,Edwin Encarnacion,Toronto,RBI,127,2016
ortizda01,David Ortiz,Boston,RBI,127,2016
troutmi01,Mike Trout,Los Angeles,Runs,123,2016
ortizda01,David Ortiz,Boston,Slugging Average,.620,2016
davisra01,Rajai Davis,Cleveland,Stolen Bases,43,2016
bettsmo01,Mookie Betts,Boston,Total Bases,359,2016
eatonad02,Adam Eaton,Chicago,Triples,9,2016
judgeaa01,Aaron Judge,New York Yankees,Base on Balls,127,2017
altuvjo01,Jose Altuve,Houston Astros,Batting Average,.346,2017
ramirjo01,Jose Ramirez,Cleveland Indians,Doubles,56,2017
altuvjo01,Jose Altuve,Houston Astros,Hits,204,2017
judgeaa01,Aaron Judge,New York Yankees,Home Runs,52,2017
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,.442,2017
cruzne02,Nelson Cruz,Seattle Mariners,RBI,119,2017
judgeaa01,Aaron Judge,New York Yankees,Runs,128,2017
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,.629,2017
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,34,2017
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,343,2017
casteni01,Nick Castellanos,Detroit Tigers,Triples,10,2017
troutmi01,Mike Trout,Los Angeles Angels,Base on Balls,122,2018
bettsmo01,Mookie Betts,Boston Red Sox,Batting Average,.346,2018
bregmal01,Alex Bregman,Houston Astros,Doubles,50,2018
merriwh01,Whit Merrifield,Kansas City Royals,Hits,192,2018
daviskh01,Khris Davis,Oakland Athletics,Home Runs,48,2018
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,.460,2018
martijd02,J.D. Martinez,Boston Red Sox,RBI,130,2018
bettsmo01,Mookie Betts,Boston Red Sox,Runs,129,2018
bettsmo01,Mookie Betts,Boston Red Sox,Slugging Average,.640,2018
merriwh01,Whit Merrifield,Kansas City Royals,Stolen Bases,45,2018
martijd02,J.D. Martinez,Boston Red Sox,Total Bases,358,2018
sanchca01,Yolmer Sanchez,Chicago White Sox,Triples,10,2018
smithma05,Mallex Smith,Tampa Bay Rays,Triples,10,2018
bregmal01,Alex Bregman,Houston Astros,Base on Balls,119,2019
anderti01,Tim Anderson,Chicago White Sox,Batting Average,.335,2019
deverra01,Rafael Devers,Boston Red Sox,Doubles,54,2019
merriwh01,Whit Merrifield,Kansas City Royals,Hits,206,2019
solerjo01,Jorge Soler,Kansas City Royals,Home Runs,48,2019
troutmi01,Mike Trout,Los Angeles Angels,On Base Percentage,.438,2019
abreujo02,Jose Abreu,Chicago White Sox,RBI,123,2019
bettsmo01,Mookie Betts,Boston Red Sox,Runs,135,2019
troutmi01,Mike Trout,Los Angeles Angels,Slugging Average,.645,2019
smithma05,Mallex Smith,Tampa Bay Rays,Stolen Bases,46,2019
deverra01,Rafael Devers,Boston Red Sox,Total Bases,359,2019
doziehu01,Hunter Dozier,Kansas City Royals,Triples,10,2019
merriwh01,Whit Merrifield,Kansas City Royals,Triples,10,2019
mondera02,Adalberto Mondesi,Kansas City Royals,Triples,10,2019
santaca01,Carlos Santana,Cleveland Indians,Base on Balls,47,2020
lemahdj01,DJ LeMahieu,New York Yankees,Batting Average,.364,2020
hernace02,Cesar Hernandez,Cleveland Indians,Doubles,20,2020
abreujo02,Jose Abreu,Chicago White Sox,Hits,76,2020
voitlu01,Luke Voit,New York Yankees,Home Runs,22,2020
lemahdj01,DJ LeMahieu,New York Yankees,On Base Percentage,.421,2020
abreujo02,Jose Abreu,Chicago White Sox,RBI,60,2020
anderti01,Tim Anderson,Chicago White Sox,Runs,45,2020
ramirjo01,Jose Ramirez,Cleveland Indians,Runs,45,2020
abreujo02,Jose Abreu,Chicago White Sox,Slugging Average,.617,2020
mondera02,Adalberto Mondesi,Kansas City Royals,Stolen Bases,24,2020
abreujo02,Jose Abreu,Chicago White Sox,Total Bases,148,2020
tuckeky01,Kyle Tucker,Houston Astros,Triples,6,2020
gallojo01,Joey Gallo,Texas Rangers,Base on Balls,111,2021
gurriyu01,Yuli Gurriel,Houston Astros,Batting Average,.319,2021
candeje01,Jeimer Candelario,Detroit Tigers,Doubles,42,2021
martijd02,J.D. Martinez,Boston Red Sox,Doubles,42,2021
merriwh01,Whit Merrifield,Kansas City Royals,Doubles,42,2021
bichebo01,Bo Bichette,Toronto Blue Jays,Hits,191,2021
guerrvl02,Vladimir Guerrero Jr.,Toronto Blue Jays,Home Runs,48,2021
