Player_ID,Name,Team,Statistic,Value,Year
ordonma01,Magglio Ordonez,Detroit Tigers,Batting Average,0.363,2007
ordonma01,Magglio Ordonez,Detroit Tigers,Doubles,54.0,2007
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,238.0,2007
rodrial01,Alex Rodriguez,New York Yankees,Home Runs,54.0,2007
ortizda01,David Ortiz,Boston Red Sox,On Base Percentage,0.445,2007
rodrial01,Alex Rodriguez,New York Yankees,RBI,156.0,2007
rodrial01,Alex Rodriguez,New York Yankees,Runs,143.0,2007
rodrial01,Alex Rodriguez,New York Yankees,Slugging Average,0.645,2007
crawfca02,Carl Crawford,Tampa Bay Rays,Stolen Bases,50.0,2007
roberbr01,Brian Roberts,Baltimore Orioles,Stolen Bases,50.0,2007
rodrial01,Alex Rodriguez,New York Yankees,Total Bases,376.0,2007
grandcu01,Curtis Granderson,Detroit Tigers,Triples,23.0,2007
custja01,Jack Cust,Oakland Athletics,Base on Balls,111.0,2008
mauerjo01,Joe Mauer,Minnesota Twins,Batting Average,0.33,2008
pedrodu01,Dustin Pedroia,Boston Red Sox,Doubles,54.0,2008
pedrodu01,Dustin Pedroia,Boston Red Sox,Hits,213.0,2008
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,213.0,2008
cabremi01,Miguel Cabrera,Detroit Tigers,Home Runs,37.0,2008
bradlmi01,Milton Bradley,Texas Rangers,On Base Percentage,0.436,2008
hamiljo03,Josh Hamilton,Texas Rangers,RBI,130.0,2008
pedrodu01,Dustin Pedroia,Boston Red Sox,Runs,118.0,2008
rodrial01,Alex Rodriguez,New York Yankees,Slugging Average,0.573,2008
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,50.0,2008
hamiljo03,Josh Hamilton,Texas Rangers,Total Bases,331.0,2008
grandcu01,Curtis Granderson,Detroit Tigers,Triples,13.0,2008
figgich01,Chone Figgins,Los Angeles Angels,Base on Balls,101.0,2009
mauerjo01,Joe Mauer,Minnesota Twins,Batting Average,0.365,2009
roberbr01,Brian Roberts,Baltimore Orioles,Doubles,56.0,2009
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,225.0,2009
penaca01,Carlos Pena,Tampa Bay Rays,Home Runs,39.0,2009
teixema01,Mark Teixeira,New York Yankees,Home Runs,39.0,2009
mauerjo01,Joe Mauer,Minnesota Twins,On Base Percentage,0.444,2009
teixema01,Mark Teixeira,New York Yankees,RBI,122.0,2009
pedrodu01,DustinPedroia,Boston Red Sox,Runs,115.0,2009
mauerjo01,Joe Mauer,Minnesota Twins,Slugging Average,0.587,2009
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Stolen Bases,70.0,2009
teixema01,Mark Teixeira,New York Yankees,Total Bases,344.0,2009
ellsbja01,Jacoby Ellsbury,Boston Red Sox,Triples,10.0,2009
spande01,Denard Span,Minnesota Twins,Triples,10.0,2009
bartoda02,Daric Barton,Oakland Athletics,Base on Balls,110.0,2010
hamiljo03,Josh Hamilton,Texas Rangers,Batting Average,0.359,2010
beltrad01,Adrian Beltre,Boston Red Sox,Doubles,49.0,2010
suzukic01,Ichiro Suzuki,Seattle Mariners,Hits,214.0,2010
bautijo02,Jose Bautista,Toronto Blue Jays,Home Runs,54.0,2010
cabremi01,Miguel Cabrera,Detroit Tigers,On Base Percentage,0.42,2010
cabremi01,Miguel Cabrera,Detroit Tigers,RBI,126.0,2010
teixema01,Mark Teixeira,New York Yankees,Runs,113.0,2010
hamiljo03,Josh Hamilton,Texas Rangers,Slugging Average,0.633,2010
pierrju01,Juan Pierre,Chicago White Sox,Stolen Bases,68.0,2010
bautijo02,Jose Bautista,Toronto Blue Jays,Total Bases,351.0,2010
crawfca02,Carl Crawford,Tampa Bay Rays,Triples,13.0,2010
bautijo02,Jose Bautista,Toronto Blue Jays,Base on Balls,132.0,2011
