Player_ID,Career_Length,G,AB,R,H,2B,3B,HR,GRSL,RBI,BB,IBB,SO,SH,SF,HBP,GIDP,AVG,OBP,SLG
martivi01,16,1973,7297,914,2153,423,3,246,5,1178,730,119,891,0,86,53,264,.295,.360,.455
abreujo02,11,1446,5607,769,1587,328,17,263,5,960,432,57,1246,0,56,125,187,.283,.345,.488
bournmi01,11,1362,4784,678,1272,191,69,36,1,361,445,13,1124,47,17,19,34,.266,.330,.357
eatonad01,10,221,341,30,66,16,1,3,0,26,33,0,113,26,0,3,4,.194,.271,.273
brantmi02,15,1445,5566,758,1656,348,25,129,3,720,485,37,658,13,47,37,130,.298,.355,.439
donaljo02,13,1384,5022,816,1310,287,12,279,7,816,725,22,1221,5,46,58,135,.261,.358,.489
rosared01,11,1126,4073,567,1064,201,29,169,5,583,226,16,869,15,37,4,60,.261,.298,.449
trumbma01,10,1097,4085,532,1018,182,11,218,5,629,299,20,1097,0,19,16,106,.249,.302,.459
encared01,16,1960,7040,1099,1832,370,10,424,12,1261,903,54,1426,0,66,105,185,.260,.350,.496
davisra01,14,1448,4244,637,1111,226,43,62,3,387,267,5,844,22,28,46,79,.262,.311,.379
bettsmo01,12,1444,5738,1118,1680,378,40,280,6,864,707,34,882,4,53,50,75,.293,.372,.519
eatonad02,10,914,3439,566,950,167,46,66,1,319,346,5,679,37,13,75,39,.276,.354,.409
judgeaa01,10,1061,3818,801,1125,190,7,341,9,776,738,82,1281,0,27,36,107,.295,.411,.616
ramirjo01,13,1517,5625,940,1581,379,41,267,6,897,625,94,759,19,56,40,79,.281,.354,.505
merriwh01,9,1146,4468,632,1248,256,29,94,2,485,315,11,774,7,45,31,82,.279,.328,.413
casteni01,13,1610,6126,784,1679,389,42,239,8,880,415,19,1539,0,50,53,135,.274,.323,.468
bregmal01,10,1162,4354,726,1191,282,18,202,7,698,598,15,688,1,41,64,111,.274,.366,.486
daviskh01,9,980,3394,506,820,164,9,221,2,590,328,10,1017,0,34,48,99,.242,.314,.491
martijd02,14,1642,6152,897,1741,390,24,331,10,1071,601,51,1714,0,61,40,195,.283,.348,.516
sanchca01,8,675,2276,253,552,113,24,32,0,217,165,3,532,26,13,23,38,.243,.299,.355
smithma05,5,442,1480,198,378,63,27,13,0,114,134,0,362,14,5,21,24,.255,.325,.361
anderti01,10,991,3939,552,1088,185,18,98,2,350,153,4,980,11,11,25,96,.276,.307,.407
deverra01,9,1051,4067,662,1135,273,12,214,8,695,413,65,968,1,22,38,89,.279,.349,.510
solerjo01,12,1075,3747,525,903,207,4,199,2,542,454,14,1141,0,31,48,102,.241,.328,.458
